region,column_name,null_count,null_pct,non_null_count
newyork,dataid,0,0.0,441599
newyork,local_15min,0,0.0,441599
newyork,air1,251364,56.92,190235
newyork,air2,406272,92.0,35327
newyork,air3,441599,100.0,0
newyork,airwindowunit1,423935,96.0,17664
newyork,aquarium1,441599,100.0,0
newyork,bathroom1,370943,84.0,70656
newyork,bathroom2,441599,100.0,0
newyork,bedroom1,370943,84.0,70656
newyork,bedroom2,441599,100.0,0
newyork,bedroom3,441599,100.0,0
newyork,bedroom4,441599,100.0,0
newyork,bedroom5,441599,100.0,0
newyork,battery1,441599,100.0,0
newyork,car1,353316,80.01,88283
newyork,car2,433323,98.13,8276
newyork,circpump1,370943,84.0,70656
newyork,clotheswasher1,158975,36.0,282624
newyork,clotheswasher_dryg1,388608,88.0,52991
newyork,diningroom1,423935,96.0,17664
newyork,diningroom2,441599,100.0,0
newyork,dishwasher1,229631,52.0,211968
newyork,disposal1,423935,96.0,17664
newyork,drye1,141311,32.0,300288
newyork,dryg1,441599,100.0,0
newyork,freezer1,317952,72.0,123647
newyork,furnace1,233699,52.92,207900
newyork,furnace2,423935,96.0,17664
newyork,garage1,317952,72.0,123647
newyork,garage2,441599,100.0,0
newyork,grid,0,0.0,441599
newyork,heater1,247295,56.0,194304
newyork,heater2,406271,92.0,35328
newyork,heater3,423935,96.0,17664
newyork,housefan1,423935,96.0,17664
newyork,icemaker1,441599,100.0,0
newyork,jacuzzi1,406271,92.0,35328
newyork,kitchen1,406271,92.0,35328
newyork,kitchen2,441599,100.0,0
newyork,kitchenapp1,123648,28.0,317951
newyork,kitchenapp2,229632,52.0,211967
newyork,lights_plugs1,353279,80.0,88320
newyork,lights_plugs2,388607,88.0,52992
newyork,lights_plugs3,406271,92.0,35328
newyork,lights_plugs4,423935,96.0,17664
newyork,lights_plugs5,441599,100.0,0
newyork,lights_plugs6,441599,100.0,0
newyork,livingroom1,335615,76.0,105984
newyork,livingroom2,441599,100.0,0
newyork,microwave1,388607,88.0,52992
newyork,office1,423935,96.0,17664
newyork,outsidelights_plugs1,441599,100.0,0
newyork,outsidelights_plugs2,441599,100.0,0
newyork,oven1,335615,76.0,105984
newyork,oven2,441599,100.0,0
newyork,pool1,441599,100.0,0
newyork,pool2,441599,100.0,0
newyork,poollight1,441599,100.0,0
newyork,poolpump1,441599,100.0,0
newyork,pump1,353279,80.0,88320
newyork,range1,264959,60.0,176640
newyork,refrigerator1,229631,52.0,211968
newyork,refrigerator2,441599,100.0,0
newyork,security1,441599,100.0,0
newyork,sewerpump1,423935,96.0,17664
newyork,shed1,441599,100.0,0
newyork,solar,194304,44.0,247295
newyork,solar2,423971,96.01,17628
newyork,sprinkler1,441599,100.0,0
newyork,sumppump1,423935,96.0,17664
newyork,utilityroom1,406271,92.0,35328
newyork,venthood1,406271,92.0,35328
newyork,waterheater1,264960,60.0,176639
newyork,waterheater2,441599,100.0,0
newyork,wellpump1,282624,64.0,158975
newyork,winecooler1,441599,100.0,0
newyork,leg1v,0,0.0,441599
newyork,leg2v,0,0.0,441599
